recipe_name,recipe_code,matched_source_file,source_servings,source_ingredient_count,upload_ingredient_count,missing_master_count,match_score,name_similarity,token_overlap,needs_review
Chicken Grilled with Lemon Sauce KBR-384 ONEGO V3,RCP-029-CHICKENGRI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Grilled with Lemon Sauce.100 pax.docx,100,13,13,1,2.15,1.0,1.0,YES
Chicken Haleem KBR-384 ONEGO V3,RCP-030-CHICKENHAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Haleem Recipe.100 pax.docx,100,17,17,0,2.15,1.0,1.0,
Chicken Handi KBR-384 ONEGO V3,RCP-031-CHICKENHAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Handi Recipe.100 pax.docx,100,23,23,0,2.15,1.0,1.0,
Chicken Jalfrezi KBR-384 ONEGO V3,RCP-032-CHICKENJAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Jalfrezi Recipe.100 pax.docx,100,17,17,0,2.15,1.0,1.0,
Chicken Korma KBR-384 ONEGO V3,RCP-033-CHICKENKOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Korma.100 PAX.docx,100,1,1,0,2.15,1.0,1.0,
Chicken Masala. bone in chicken KBR-384 ONEGO V3,RCP-034-CHICKENMAS-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Masala. 100 pax bone in chicken - Copy.docx,100,15,15,0,2.15,1.0,1.0,
Chicken Palak KBR-384 ONEGO V3,RCP-035-CHICKENPAL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Palak Recipe.100 PAX - Copy.docx,100,16,16,0,2.15,1.0,1.0,
Chicken Tandori KBR-384 ONEGO V3,RCP-036-CHICKENTAN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tandori Recipe 100 pax.docx,100,19,19,0,2.15,1.0,1.0,
Chicken Tikka KBR-384 ONEGO V3,RCP-037-CHICKENTIK-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Chicken Tikka Recipe.100 pax.docx,100,18,18,0,2.15,1.0,1.0,
Crispy Chicken Strips KBR-384 ONEGO V3,RCP-038-CRISPYCHIC-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Chicken\Crispy_Chicken_Strips_100_Pax.docx,100,15,15,0,2.15,1.0,1.0,
