item_group,ingredient_code,sku,ingredient_name,unit,unit_price,cooking_yield_percent,calories_per_100g,allergens,package_base_quantity,package_base_unit,package_parse_source
GROCERY,174476,174476,AFCO COCONUT MILK POWDER 12/300G,EA,9.58083333333333,100,61,milk|tree nuts,,,
GROCERY,176065,176065,AL OSRA SUGAR FINE 10/2KG,EA,7.23584210526316,100,387,none,,,
OPERSUPPLY,177650,177650,TFG MAXI ROLL 300MTR 6/1ROLL,EA,5.63505254237288,100,0,none,,,
GROCERY,179312,179312,(TAFGA) MAWASIM KETCHUP 24/340G,EA,2.27553909774436,100,120,none,,,
OPERSUPPLY,179369,179369,TAFGA CHARCOAL LIGHTER FUEL 12/16Z,EA,11.9531826086957,100,0,none,,,
POULTRY,179446,179446,TAFGA CHICKEN WINGS 1/5KG,KG,6.5,75,165,none,,,
GROCERY,179550,179550,A-AFFCO RICE STK (P/BIHON) 30/227G-212012,EA,4.10090437956204,300,365,none,,,
POULTRY,180259,180259,TAFGA CHICKEN BREAST 1/10KG,KG,17.2388688888889,75,165,none,,,
GROCERY,180576,180576,TAFGA CAMEL PICKLE MIXED 12/400G,EA,5.333775,100,120,none,,,
GROCERY,180808,180808,A-TAFGA MELLOW DAL MOONG WHL 1/15KG,KG,5.86666666666667,100,120,none,,,
BAKERY,182376,182376,A-TAFGA ORIENT GARDEN BAKING SODA 12/12Z,EA,9.02295,100,120,none,,,
POULTRY,182833,182833,A-TAFGA AMERICANA  CHICKEN FRANK 24/340G,EA,2.49490613207547,75,165,none,,,
OPERSUPPLY,185024,185024,NURSE'S CAP 10/100CT,EA,3.93685,100,0,none,,,
OPERSUPPLY,185025,185025,APRON DISP 10/100 CT,PAK,4.91624897959184,100,0,none,,,
GROCERY,185208,185208,TAFGA OLIVE OIL 12/500ML,EA,11.67905,100,884,none,,,
GROCERY,185539,185539,COCONUT MILK POWDER  12/300G,EA,13.8778659090909,100,61,milk|tree nuts,,,
OPERSUPPLY,185784,185784,TAFGA GULF PLASTIC SPOONS 20/50PCS,PAK,1.67905123376623,100,0,none,,,
GROCERY,185818,185818,A-TFG FRESHLY BASIL LEAVES U.S  6/5Z,EA,22.4389285714286,100,120,none,,,
GROCERY,185836,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,EA,53.2676487179487,100,120,none,,,
GROCERY,185837,185837,A-TAFGA FRESHLY WHT PEPPER PDWR 6/16Z,EA,70.552275,100,120,none,,,
GROCERY,187167,187167,TAFGA HOMMOS TAHINA 24/380G,EA,2.20833058823529,100,120,none,,,
OPERSUPPLY,187421,187421,TAFGA OVEN CLEANER 12/300ML,EA,18.3333333333333,100,0,none,,,
OPERSUPPLY,188273,188273,TAFGA SCOURING PAD MAOG 40/9CT,PAK,7.10215,100,0,none,,,
GROCERY,188559,188559,A-FOOM WHITE FLOUR 1/45KG,KG,0.611111388888889,100,364,wheat,,,
POULTRY,189015,189015,TAFGA LOCAL TANMIAH CHICKEN 10/900G,EA,11.838,75,165,none,,,
CHEMICAL,189387,189387,COTTAGE ROSE  AIR FRESHNER 12/300ML,EA,3.60120666666667,100,120,none,,,
GROCERY,190082,190082,A-ALMANAKIL SUMAC NO.1 1/KG,KG,9.2,100,120,none,,,
GROCERY,191262,191262,A-TFGA LUNA FOUL MEDAMAS 24/400G,EA,1.96076470588235,100,120,none,,,
GROCERY,191743,191743,WADI HONEY 12/375-385G,EA,6.99734270462633,100,387,none,,,
GROCERY,191744,191744,TAFGA SPANISH BLACK OLIVES WHOLE 12/370G,EA,5.66673617021277,100,120,none,,,
GROCERY,191892,191892,TAFGA LUNA RED KIDNEY BEANS 24/400G,EA,3.5,100,120,none,,,
OPERSUPPLY,191976,191976,TAFGA ALUMINUM FOIL 6X45X.014MICX100MTR,EA,26.896280952381,100,0,none,,,
SEAFOOD,192264,192264,RUHI FISH 1/KG,KG,13,80,206,fish,,,
OPERSUPPLY,192337,192337,MOP HEAD RED COLOR 16Z 1/EA,EA,9.80286666666667,100,0,none,,,
OPERSUPPLY,192338,192338,MOP HEAD BLUE COLOR 16Z 1/EA,EA,9.80002,100,0,none,,,
GROCERY,194074,194074,A-TAFGA FRESHLY OREGANO/ZAATAR LEAVES,EA,18.3445166666667,100,120,none,,,
GROCERY,198273,198273,TAFGA M.S.G. 20/400G,EA,1.30003636363636,100,120,none,,,
GROCERY,199838,199838,A-(TAFGA) AFFCO SWEET CORN 6/3KG,PAK,15.5267484848485,100,120,none,,,
GROCERY,199922,199922,A-TAFGA AFFCO SWEET CHILLI SAUCE 12/700ML,EA,7.66664,100,90,none,,,
CHEMICAL,200361,200361,(TAFGA) DOVE CREAM SOAP PINK 72/135G,EA,4.15762239583333,100,120,milk,,,
GROCERY,201773,201773,TAFGA CREAM CARAMEL 4/3KG,PAK,25.5,100,120,milk,,,
OPERSUPPLY,204787,204787,TAFGA DUST PAN WITH BRUSH 1/EA,EA,4.9,100,0,none,,,
GROCERY,204980,204980,TAFGA LIQ TAHINA 12/1KG,EA,36.08335,100,120,none,,,
POULTRY,205101,205101,TANMIAH FRESH CHICKEN 1/900G,EA,14,75,165,none,,,
GROCERY,213346,213346,BAIDAR POMEGRANATE MOLASSES 12/700G,EA,14.5833333333333,100,120,none,,,
GROCERY,218618,218618,TAFGA GOODY WHOLE MUSHROOM 24/400G,EA,7.44922867132867,100,120,none,,,
CHEMICAL,218664,218664,TFGA HAND SOAP LIQ LEMON 4/5LTR,EA,18.7460220338983,100,120,none,,,
GROCERY,221871,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,EA,104.273976344086,100,884,none,,,
BEVERAGES,224894,224894,(TAFGA) NOVA WATER 24/0.55-0.6LTR,EA,0.641666666666667,100,120,none,,,
BEVERAGES,224895,224895,TAFGA NOVA WATER 40/0.33LTR,EA,0.403017688679245,100,120,none,,,
BAKERY,230797,230797,A-TAFGA SB PUFF PASTRY SQUARE 18/400G,EA,6.45000303030303,100,120,none,,,
