recipe_name,recipe_code,source_file,removed_ingredient_name,removed_item_code,removed_quantity,removed_unit,reason
Dall Mong KBR-384 ONEGO V3,RCP-009-DALLMONG-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dall Mong Recipe. 100 pax.docx,EASTERN GARLIC POWDER 24/200G,401030,500.0,g,Replaced by source ingredient: GARLIC  (CHINA)
Dall Mong KBR-384 ONEGO V3,RCP-009-DALLMONG-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\DALL & BEANS\Dall Mong Recipe. 100 pax.docx,ALMARAI BUTTER GHEE 6/1600G,242795,2.5,l,Replaced by source ingredient: TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR
Cheese Omelette.with onion tomato KBR-384 ONEGO V3,RCP-012-CHEESEOMEL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Cheese Omelette.with onion tomato 01 pax.docx,TAFGA LUNA TOMATO PASTE 24/400G,103023,20.0,g,Replaced by source ingredient: TOMATO (ADY)
Cheese Omelette.with onion tomato KBR-384 ONEGO V3,RCP-012-CHEESEOMEL-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Cheese Omelette.with onion tomato 01 pax.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,5.0,g,Replaced by source ingredient: TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR
Egg Shakshuka KBR-384 ONEGO V3,RCP-013-EGGSHAKSHU-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Egg Shakshuka.01 pax.docx,TAFGA LUNA TOMATO PASTE 24/400G,103023,150.0,g,Replaced by source ingredient: TOMATO (ADY)
Egg with Potato KBR-384 ONEGO V3,RCP-014-EGGWITHPOT-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Egg with Potato Recipe.01 serving.docx,EGGPANT (BIG),PR000012,2.0,pieces,Replaced by source ingredient: SAEDCO FRESH EGGS MEDIUM 12/30 CT
Omlette with onion and tomato KBR-384 ONEGO V3,RCP-016-OMLETTEWIT-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Omlette with onion and tomato 01 pax.docx,TAFGA LUNA TOMATO PASTE 24/400G,103023,30.0,g,Replaced by source ingredient: TOMATO (ADY)
Plan cheese omlette KBR-384 ONEGO V3,RCP-018-PLANCHEESE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Plan cheese omlette.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,1.25,ml,Replaced by source ingredient: TAFGA REHAN SALT IODIZED 24/700G
Scrambled Eggs KBR-384 ONEGO V3,RCP-019-SCRAMBLEDE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Scrambled Eggs.01 pax.docx,NZMP WHOLE MILK POWDER 1/25KG,GR001426,15.0,ml,Replaced by source ingredient: AL MARAI UHT MILF FF 12/1LTR
Vegetable Omelette KBR-384 ONEGO V3,RCP-020-VEGETABLEO-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Breakfast Items\EGG\Vegetable Omelette.01 serving.docx,AL MARAI BUTTER UNSALT 4/100/10G,DR000039,5.0,ml,Replaced by source ingredient: TAFGA OLIVE OIL 12/500ML
