source_sheet,source_row,item_code,ingredient_name,quantity,unit,unit_cost,amount,status
Sheet1,25,BR000351,KINZA COLA 30/250ML,600,EA,1.043333,626,converted
Sheet1,26,132787,(TAFGA) STEEL POLISH 12/400ML,23,EA,6.002509,138.0577,converted
Sheet1,27,133443,(TAFGA) LUX SOAP ASST 72/120G,486,EA,2.403944,1168.3169,converted
Sheet1,28,140165,ROZZET HAND LIQUID SOAP PINK 4/5LTR,0,EA,0,-7.3686,converted
Sheet1,29,165437,CLOROX BLEA 6/1GALLON,144,EA,16.357474,2355.4763,converted
Sheet1,30,169246,DIXIE GLASS CLEANER 12/600ML,35,EA,2.913946,101.9881,converted
Sheet1,31,189387,COTTAGE ROSE AIR FRESHNER 12/300ML,24,EA,3.601208,86.429,converted
Sheet1,32,200361,(TAFGA) DOVE CREAM SOAP PINK 72/135G,384,EA,4.157622,1596.527,converted
Sheet1,33,218664,TFGA HAND SOAP LIQ LEMON 4/5LTR,58,EA,18.746022,1087.2693,converted
Sheet1,34,254320,TAFGA ARIEL DETERGENTS HS MB 4/3KG,50,EA,24.952102,1247.6051,converted
Sheet1,35,267425,TAFGA PIF PAF INSECT KILLER 12/300ML,12,EA,5.675633,68.1076,converted
Sheet1,36,270297,TAFGA FLASH PLUS BOWL CLEANER 12/1000ML,133,EA,3.166662,421.1661,converted
Sheet1,37,279994,TFGA WHITE DETERGENT POWDER 1/25KG,22,EA,72.010973,1584.2414,converted
Sheet1,38,330261,GENTO DISINFECTANT FLOWER 6/3LTR,54,EA,12.166663,656.9998,converted
Sheet1,39,332791,TAFGA CHLORINE TABLETS 6/200CT,1,PAK,120,120,converted
Sheet1,40,343925,TAFGA DOVE SOAP 72/75G,120,EA,2.975459,357.0551,converted
Sheet1,41,387037,FAIRY LEMON 12/900ML,194,EA,11.416669,2214.8338,converted
Sheet1,42,CH000436,CHROLINE STRIPS 1/2CT,2,EA,50,100,converted
Sheet1,43,118807,NADA UHT MILK FF 18/200ML,1230,EA,1.25,1537.5,converted
Sheet1,44,153758,A-TAFGA BONNY MILK EVAP 96/170G,194,EA,2.186782,424.2358,converted
Sheet1,45,164604,TAFGA MARGARINE 1/5/2KG,52,PAK,23.75001,1235.0005,converted
Sheet1,46,171301,TAFGA SLICED CHEESE 9/800G,18,EA,17.648206,317.6677,converted
Sheet1,47,342384,TAFGA MARAI COOKING CREAM 12/1LTR,14,EA,19.7,275.8,converted
Sheet1,48,DR000003,AL MARAI YOGURT/ZABADI FF 1/170G,60,EA,1.25,75,converted
Sheet1,49,DR000005,AL MARAI UHT MILF FF 12/1LTR,249,EA,3.410001,849.0902,converted
Sheet1,50,DR000017,AL MARAI LABAN LF VIT 1/180ML,0,EA,0,0,converted
Sheet1,51,DR000034,NADA MILK FF UHT 12/1 LTR,0,EA,0,0,converted
Sheet1,52,DR000039,AL MARAI BUTTER UNSALT 4/100/10G,86,PAK,36.153056,3109.1628,converted
Sheet1,53,DR000284,ALMARAI LABNEH FF 1/2.75KG,3,EA,66,198,converted
Sheet1,54,DR000390,AL MARAI MOZZARELLA CHEESE 6/900GM,7,EA,35.57,248.99,converted
Sheet1,55,100782,TAFGA MAKATI SOY SAUCE 12/750ML,118,EA,8.225,970.55,converted
Sheet1,56,102426,TAFGA MAGGI CUBES CHICKEN 24/24/20G,120,EA,0.814965,97.7958,converted
Sheet1,57,103023,TAFGA LUNA TOMATO PASTE 24/400G,113,EA,3.791673,428.4591,converted
Sheet1,58,110196,A-(TAFGA) AFFCO OYSTER SAUCE 12/600ML,151,EA,10.916666,1648.4165,converted
Sheet1,59,111278,TFG RIYADH/HAIEL WHITE OATS 24/400G,307,EA,3.480606,1068.5459,converted
Sheet1,60,132822,A-TAFGA SHIFA HONEY 12/500G,11,EA,19.494518,214.4397,converted
Sheet1,61,132827,CAFE EXTRA MILD 12/200G,143,EA,14.574515,2084.1556,converted
