site,warehouse,item_code,ingredient_name,quantity,unit,unit_cost,reorder_level,status,item_group,amount
KBR,KBR-384,180576,TAFGA CAMEL PICKLE MIXED 12/400G,108,EA,5.333775,0,in_stock,GROCERY,576.0477
KBR,KBR-384,180808,A-TAFGA MELLOW DAL MOONG WHL 1/15KG,90,KG,5.866667,0,in_stock,GROCERY,528
KBR,KBR-384,185208,TAFGA OLIVE OIL 12/500ML,12,EA,11.67905,0,in_stock,GROCERY,140.1486
KBR,KBR-384,185539,COCONUT MILK POWDER 12/300G,32,EA,13.877866,0,in_stock,GROCERY,444.0917
KBR,KBR-384,185818,A-TFG FRESHLY BASIL LEAVES U.S 6/5Z,7,EA,22.438929,0,in_stock,GROCERY,157.0725
KBR,KBR-384,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,36,EA,53.26765,0,in_stock,GROCERY,1917.6354
KBR,KBR-384,185837,A-TAFGA FRESHLY WHT PEPPER PDWR 6/16Z,15,EA,70.552273,0,in_stock,GROCERY,1058.2841
KBR,KBR-384,187167,TAFGA HOMMOS TAHINA 24/380G,83,EA,2.20833,0,in_stock,GROCERY,183.2914
KBR,KBR-384,188559,A-FOOM WHITE FLOUR 1/45KG,585,KG,0.611111,0,in_stock,GROCERY,357.5002
KBR,KBR-384,190082,A-ALMANAKIL SUMAC NO.1 1/KG,4,KG,9.2,0,in_stock,GROCERY,36.8
KBR,KBR-384,191262,A-TFGA LUNA FOUL MEDAMAS 24/400G,187,EA,1.960765,0,in_stock,GROCERY,366.663
KBR,KBR-384,191743,WADI HONEY 12/375-385G,258,EA,6.997343,0,in_stock,GROCERY,1805.3144
KBR,KBR-384,191744,TAFGA SPANISH BLACK OLIVES WHOLE 12/370G,70,EA,5.666736,0,in_stock,GROCERY,396.6715
KBR,KBR-384,191892,TAFGA LUNA RED KIDNEY BEANS 24/400G,68,EA,3.5,0,in_stock,GROCERY,238
KBR,KBR-384,198273,TAFGA M.S.G. 20/400G,16,EA,1.30005,0,in_stock,GROCERY,20.8008
KBR,KBR-384,199838,A-(TAFGA) AFFCO SWEET CORN 6/3KG,32,PAK,15.52675,0,in_stock,GROCERY,496.856
KBR,KBR-384,199922,A-TAFGA AFFCO SWEET CHILLI SAUCE 12/700ML,5,EA,7.66664,0,in_stock,GROCERY,38.3332
KBR,KBR-384,201773,TAFGA CREAM CARAMEL 4/3KG,4,PAK,25.5,0,in_stock,GROCERY,102
KBR,KBR-384,204980,TAFGA LIQ TAHINA 12/1KG,9,EA,36.083344,0,in_stock,GROCERY,324.7501
KBR,KBR-384,213346,BAIDAR POMEGRANATE MOLASSES 12/700G,3,EA,14.583333,0,in_stock,GROCERY,43.75
KBR,KBR-384,218618,TAFGA GOODY WHOLE MUSHROOM 24/400G,143,EA,7.449229,0,in_stock,GROCERY,1065.2397
KBR,KBR-384,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,65,EA,104.273975,0,in_stock,GROCERY,6777.8084
KBR,KBR-384,242795,ALMARAI BUTTER GHEE 6/1600G,13,EA,35.905962,0,in_stock,GROCERY,466.7775
KBR,KBR-384,255114,A-UJAJ ROCK COOKING SALT 1/50KG,450,KG,0.46,0,in_stock,GROCERY,207
KBR,KBR-384,262233,TAFGA NESCAFE CLASIC COFFEE 12/200G,24,EA,19.44125,0,in_stock,GROCERY,466.59
KBR,KBR-384,262241,A-TAFGA NESTLE COFFEEMATE COFE 15/400G,125,EA,8.759678,0,in_stock,GROCERY,1094.9597
KBR,KBR-384,262511,TAFGA GOODY MACARONI ELBOW #33 24/500G,174,EA,4.302311,0,in_stock,GROCERY,748.6021
KBR,KBR-384,265809,GOODY FETTUCCINI 24/450G,81,EA,12.6825,0,in_stock,GROCERY,1027.2825
KBR,KBR-384,266115,A-TFG MAMIA ROSE WATER 12/430ML,32,EA,1.750384,0,in_stock,GROCERY,56.0123
KBR,KBR-384,267491,TAFGA CH/GARDEN MIXED PICKLE 12/1KG,38,EA,9.916668,0,in_stock,GROCERY,376.8334
KBR,KBR-384,271485,TAFGA MAWASIM/BADAR TEA BAG 36/100CT,192,PAK,5.361117,0,in_stock,GROCERY,1029.3344
KBR,KBR-384,273104,A-AFFCO FISH SAUCE 12/700ML,36,EA,4.58335,0,in_stock,GROCERY,165.0006
KBR,KBR-384,275514,TAFGA GOODY VERMICELLI CUT 24/500G,33,EA,4.275836,0,in_stock,GROCERY,141.1026
KBR,KBR-384,275516,A-TAFGA GOODY P/NUT BTR CRMY 12/340G,88,EA,10.282538,0,in_stock,GROCERY,904.8633
KBR,KBR-384,275700,A-TFGA MEHRAN BIRIYANI POWDER 48/50G,278,EA,3.958379,0,in_stock,GROCERY,1100.4295
KBR,KBR-384,275962,TAFGA GOODY MAYONNAISE 12/32Z,42,EA,19.921474,0,in_stock,GROCERY,836.7019
KBR,KBR-384,276502,A-MEHRAN KAUSRI METHILEAVES 12/50G,69,EA,1.667962,0,in_stock,GROCERY,115.0894
KBR,KBR-384,279340,A-TFGA MEHRAN TIKKA MASALA 12/50G,52,EA,3.666671,0,in_stock,GROCERY,190.6669
KBR,KBR-384,279694,AL MARAI EXTRA VIRGIN OLIVE OIL 12/500ML,12,EA,27,0,in_stock,GROCERY,324
KBR,KBR-384,280423,A-TAFGA HB MIXED FRUITS JAM 12/400G,8,EA,8.73,0,in_stock,GROCERY,69.84
KBR,KBR-384,283518,TAFGA KELLOGS CORN FLAKES 8/1KG,31,EA,19.948629,0,in_stock,GROCERY,618.4075
KBR,KBR-384,285358,EASTERN KABSA SPICE MIX 24/200G,28,EA,11.63045,0,in_stock,GROCERY,325.6526
KBR,KBR-384,307316,TFGA ADELCO CHICK PEAS PWDR INDIA 1/15KG,105,KG,4.213724,0,in_stock,GROCERY,442.441
KBR,KBR-384,367022,MAWASIM VINEGAR WHITE 4/3.78LTR,20,EA,8.75045,0,in_stock,GROCERY,175.009
KBR,KBR-384,367989,TAFGA TOMEX FROZEN CAULIFLOWER 4/2.5KG,0,EA,0,0,out_of_stock,GROCERY,0
KBR,KBR-384,368547,AFIA SUNFLOWER OIL 4/2.9LTR,39,EA,32.999749,0,in_stock,GROCERY,1286.9902
KBR,KBR-384,369548,TAFGA TANG MANGO 6/2 KG,6,EA,39.09585,0,in_stock,GROCERY,234.5751
