item_group,ingredient_code,sku,ingredient_name,unit,unit_price,cooking_yield_percent,calories_per_100g,allergens,package_base_quantity,package_base_unit,package_parse_source
GROCERY,139287,139287,MELLOW PULSE LENTIL BROWN WHOLE 1/15KG,KG,0,100,,none,15,kg,item_name_package
GROCERY,139364,139364,A-TAFGA MELLOW URID DAL 1/15KG,KG,6.798457,100,120,none,15,kg,item_name_package
GROCERY,139374,139374,TAFGA PARMEL RICE 1/40KG,KG,0,100,,none,40,kg,item_name_package
GROCERY,139554,139554,A-AL AMC CORN STARCH 1/25KG,KG,2.5996,100,120,none,25,kg,item_name_package
GROCERY,139779,139779,A-TFG TOMEX BELGIUM VEG BROCOLLI 4/2.5KG,EA,23.090125,85,40,none,2.5,kg,item_name_package
GROCERY,139791,139791,A-GEKO FRENCH FRIES SIZE 9X9 4/2.5KG,EA,11.859375,100,120,none,2.5,kg,item_name_package
GROCERY,139799,139799,VEG FROGEL CAULIFLOWER 1/10KG,CS,0,100,,none,10,kg,item_name_package
GROCERY,139837,139837,TFG BOREAL/TOMEX BELGIUM SPINACH 4/2.5KG,PAK,13.500014,100,120,none,2.5,kg,item_name_package
GROCERY,139845,139845,A-TFG FRESHLY FRUIT C/TAIL 6/2.5KG,EA,28.20265,90,282,none,2.5,kg,item_name_package
GROCERY,139860,139860,A-ADELCO BURGHUL (FINE)1/15KG,KG,3.6,100,120,none,15,kg,item_name_package
GROCERY,139862,139862,OBA SEMOLINA 1/15KG,KG,4,100,120,none,15,kg,item_name_package
GROCERY,139868,139868,AAA WHITE THAI RICE 1/40KG,KG,2.999164,300,365,none,40,kg,item_name_package
GROCERY,140068,140068,A-88 RED KIDNEY BEANS 1/15KG,KG,8.633822,100,120,none,15,kg,item_name_package
GROCERY,142007,142007,A-MELLOW PULSE RED LENTIL 1/15KG,KG,4.399431,100,120,none,15,kg,item_name_package
GROCERY,145008,145008,A-TAFGA REHAN JELLY S/BERRY 4/3KG,EA,25,100,120,none,3,kg,item_name_package
GROCERY,147040,147040,TFG NIAZ BAY LEAVES 1/1KG,CS,15.260333,100,120,none,1,kg,item_name_package
GROCERY,147042,147042,AL NASEEL TAFGA P/P WALNUT 1/1KG,CS,40.5726,100,120,tree nuts,1,kg,item_name_package
GROCERY,147047,147047,TFG NIAZ LEMON DRY 1/1KG,CS,14.7425,100,120,none,1,kg,item_name_package
GROCERY,153319,153319,MAWASIM SARDINES TOM/SCE 100/155G,EA,2.280014,100,120,none,0.155,kg,item_name_package
GROCERY,154783,154783,TAFGA SB FRENCH FRIES 4/2.5KG,EA,13.56375,100,120,none,2.5,kg,item_name_package
GROCERY,155583,155583,A-TAFGA ADELCO HAREES TURKEY 1/10KG,KG,4.310557,100,120,none,10,kg,item_name_package
GROCERY,161290,161290,A-TFGA AFFCO TOMATO KETCHUP 4/5KG,EA,23.91885,100,82,none,5,kg,item_name_package
GROCERY,166780,166780,TAFGA REHAN SALT IODIZED 24/700G,EA,0.79,100,120,none,0.7,kg,item_name_package
GROCERY,174476,174476,AFCO COCONUT MILK POWDER 12/300G,EA,9.580833,100,61,milk|tree nuts,0.3,kg,item_name_package
GROCERY,176065,176065,AL OSRA SUGAR FINE 10/2KG,EA,7.235844,100,387,none,2,kg,item_name_package
GROCERY,179312,179312,(TAFGA) MAWASIM KETCHUP 24/340G,EA,2.275539,100,120,none,0.34,kg,item_name_package
GROCERY,179550,179550,A-AFFCO RICE STK (P/BIHON) 30/227G-212012,EA,4.100905,300,365,none,0.227,kg,item_name_package
GROCERY,180576,180576,TAFGA CAMEL PICKLE MIXED 12/400G,EA,5.333775,100,120,none,0.4,kg,item_name_package
GROCERY,180808,180808,A-TAFGA MELLOW DAL MOONG WHL 1/15KG,KG,5.866667,100,120,none,15,kg,item_name_package
GROCERY,185208,185208,TAFGA OLIVE OIL 12/500ML,EA,11.67905,100,884,none,0.5,l,item_name_package
GROCERY,185539,185539,COCONUT MILK POWDER 12/300G,EA,13.877866,100,61,milk|tree nuts,0.3,kg,item_name_package
GROCERY,185818,185818,A-TFG FRESHLY BASIL LEAVES U.S 6/5Z,EA,22.438929,100,120,none,0.14174762,kg,item_name_package
GROCERY,185836,185836,A-TAFGA FRESHLY PEPPER BLACK PWDR 6/16Z,EA,53.26765,100,120,none,0.45359237,kg,item_name_package
GROCERY,185837,185837,A-TAFGA FRESHLY WHT PEPPER PDWR 6/16Z,EA,70.552273,100,120,none,0.45359237,kg,item_name_package
GROCERY,187167,187167,TAFGA HOMMOS TAHINA 24/380G,EA,2.20833,100,120,none,0.38,kg,item_name_package
GROCERY,188559,188559,A-FOOM WHITE FLOUR 1/45KG,KG,0.611111,100,364,wheat,45,kg,item_name_package
GROCERY,190082,190082,A-ALMANAKIL SUMAC NO.1 1/KG,KG,9.2,100,120,none,,,
GROCERY,191262,191262,A-TFGA LUNA FOUL MEDAMAS 24/400G,EA,1.960765,100,120,none,0.4,kg,item_name_package
GROCERY,191743,191743,WADI HONEY 12/375-385G,EA,6.997343,100,387,none,0.375,kg,item_name_package
GROCERY,191744,191744,TAFGA SPANISH BLACK OLIVES WHOLE 12/370G,EA,5.666736,100,120,none,0.37,kg,item_name_package
GROCERY,191892,191892,TAFGA LUNA RED KIDNEY BEANS 24/400G,EA,3.5,100,120,none,0.4,kg,item_name_package
GROCERY,198273,198273,TAFGA M.S.G. 20/400G,EA,1.30005,100,120,none,0.4,kg,item_name_package
GROCERY,199838,199838,A-(TAFGA) AFFCO SWEET CORN 6/3KG,PAK,15.52675,100,120,none,3,kg,item_name_package
GROCERY,199922,199922,A-TAFGA AFFCO SWEET CHILLI SAUCE 12/700ML,EA,7.66664,100,90,none,0.7,l,item_name_package
GROCERY,201773,201773,TAFGA CREAM CARAMEL 4/3KG,PAK,25.5,100,120,milk,3,kg,item_name_package
GROCERY,204980,204980,TAFGA LIQ TAHINA 12/1KG,EA,36.083344,100,120,none,1,kg,item_name_package
GROCERY,213346,213346,BAIDAR POMEGRANATE MOLASSES 12/700G,EA,14.583333,100,120,none,0.7,kg,item_name_package
GROCERY,218618,218618,TAFGA GOODY WHOLE MUSHROOM 24/400G,EA,7.449229,100,120,none,0.4,kg,item_name_package
GROCERY,221871,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,EA,104.273975,100,884,none,18,l,item_name_package
GROCERY,242795,242795,ALMARAI BUTTER GHEE 6/1600G,EA,35.905962,100,120,milk,1.6,kg,item_name_package
GROCERY,255114,255114,A-UJAJ ROCK COOKING SALT 1/50KG,KG,0.46,100,120,none,50,kg,item_name_package
GROCERY,262233,262233,TAFGA NESCAFE CLASIC COFFEE 12/200G,EA,19.44125,100,120,none,0.2,kg,item_name_package
GROCERY,262241,262241,A-TAFGA NESTLE COFFEEMATE COFE 15/400G,EA,8.759678,100,120,none,0.4,kg,item_name_package
GROCERY,262511,262511,TAFGA GOODY MACARONI ELBOW #33 24/500G,EA,4.302311,100,120,none,0.5,kg,item_name_package
GROCERY,265809,265809,GOODY FETTUCCINI 24/450G,EA,12.6825,100,120,none,0.45,kg,item_name_package
GROCERY,266115,266115,A-TFG MAMIA ROSE WATER 12/430ML,EA,1.750384,100,120,none,0.43,l,item_name_package
GROCERY,267491,267491,TAFGA CH/GARDEN MIXED PICKLE 12/1KG,EA,9.916668,100,120,none,1,kg,item_name_package
GROCERY,271485,271485,TAFGA MAWASIM/BADAR TEA BAG 36/100CT,PAK,5.361117,100,120,none,100,pieces,item_name_package
GROCERY,273104,273104,A-AFFCO FISH SAUCE 12/700ML,EA,4.58335,80,206,fish,0.7,l,item_name_package
GROCERY,275514,275514,TAFGA GOODY VERMICELLI CUT 24/500G,EA,4.275836,100,120,none,0.5,kg,item_name_package
GROCERY,275516,275516,A-TAFGA GOODY P/NUT BTR CRMY 12/340G,EA,10.282538,100,120,tree nuts,0.34,kg,item_name_package
GROCERY,275700,275700,A-TFGA MEHRAN BIRIYANI POWDER 48/50G,EA,3.958379,100,120,none,0.05,kg,item_name_package
GROCERY,275962,275962,TAFGA GOODY MAYONNAISE 12/32Z,EA,19.921474,100,120,eggs,0.90718474,kg,item_name_package
GROCERY,276502,276502,A-MEHRAN KAUSRI METHILEAVES 12/50G,EA,1.667962,100,120,none,0.05,kg,item_name_package
GROCERY,279340,279340,A-TFGA MEHRAN TIKKA MASALA 12/50G,EA,3.666671,100,120,none,0.05,kg,item_name_package
GROCERY,279694,279694,AL MARAI EXTRA VIRGIN OLIVE OIL 12/500ML,EA,27,100,884,none,0.5,l,item_name_package
GROCERY,280423,280423,A-TAFGA HB MIXED FRUITS JAM 12/400G,EA,8.73,90,282,none,0.4,kg,item_name_package
GROCERY,283518,283518,TAFGA KELLOGS CORN FLAKES 8/1KG,EA,19.948629,100,120,none,1,kg,item_name_package
GROCERY,285358,285358,EASTERN KABSA SPICE MIX 24/200G,EA,11.63045,100,120,none,0.2,kg,item_name_package
GROCERY,307316,307316,TFGA ADELCO CHICK PEAS PWDR INDIA 1/15KG,KG,4.213724,100,120,none,15,kg,item_name_package
GROCERY,367022,367022,MAWASIM VINEGAR WHITE 4/3.78LTR,EA,8.75045,100,120,none,3.78,l,item_name_package
GROCERY,367989,367989,TAFGA TOMEX FROZEN CAULIFLOWER 4/2.5KG,EA,0,100,120,none,2.5,kg,item_name_package
GROCERY,368547,368547,AFIA SUNFLOWER OIL 4/2.9LTR,EA,32.999749,100,884,none,2.9,l,item_name_package
GROCERY,369548,369548,TAFGA TANG MANGO 6/2 KG,EA,39.09585,100,120,none,2,kg,item_name_package
GROCERY,369549,369549,TAFGA TANG ORANGE 6/2 KG,EA,39.13155,100,120,none,2,kg,item_name_package
GROCERY,372862,372862,TAFGA NESCAFE RED MUG INST COFEE 6/200G,EA,31.955556,100,120,none,0.2,kg,item_name_package
GROCERY,374218,374218,AFIA EXTRA VIRGIN OLIVE OIL 12/1LTR,EA,50.50035,100,884,none,1,l,item_name_package
GROCERY,376366,376366,ALMARAI MILK POWDER F/C 2KG+500G 6/2.5KG,EA,77.44,100,61,milk,2.5,kg,item_name_package
GROCERY,378292,378292,A-TFG AL KABEER HASHBROWN POTATO 4/2.5KG,EA,28.75,85,40,none,2.5,kg,item_name_package
GROCERY,379941,379941,TAJ MAHAL PUNJABI RICE 4/10KG,BAG,60.41065,300,365,none,10,kg,item_name_package
GROCERY,381884,381884,A-TAFGA LIPTON TEA CATERING PACK 36/100CT,EA,8.89171,100,120,none,100,pieces,item_name_package
GROCERY,381887,381887,A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10,EA,17.90219,100,82,none,,,
GROCERY,385486,385486,FRESHLY YELLOW MUSTARD PASTE 12/8OZ,EA,6.865116,100,120,none,0.22679619,kg,item_name_package
GROCERY,386163,386163,A-MELOW INDIAN YELLOW SPLIT CHICK PEAS 1/15KG,KG,5.560805,100,120,none,15,kg,item_name_package
GROCERY,386761,386761,GOODY PASTA #11 PENNE LISCE 24/500G,EA,4.277181,100,364,wheat,0.5,kg,item_name_package
GROCERY,386762,386762,GOODY PASTA #20 SPAGHETTI 24/450,EA,4.313105,100,364,wheat,,,
GROCERY,391367,391367,SHAMS SUNFLOWER OIL 2/9LTR,EA,65.00125,100,884,none,9,l,item_name_package
GROCERY,392483,392483,NESCAFE CLASSIC COFFEE 12/190G,EA,25.3725,100,120,none,0.19,kg,item_name_package
GROCERY,401030,401030,EASTERN GARLIC POWDER 24/200G,EA,9.96835,100,120,none,0.2,kg,item_name_package
GROCERY,401170,401170,A- TAFGA FRESHLY SMOKED PAPRIKA 6/16Z,EA,39.166675,100,120,none,0.45359237,kg,item_name_package
GROCERY,401443,401443,LIPTON GREEN TEA MINT 12/50/1.3G,PAK,16.91665,100,120,none,0.065,kg,item_name_package
GROCERY,401444,401444,LIPTON GREEN TEA LEMON 12/50/1.3G,PAK,16.916667,100,120,none,0.065,kg,item_name_package
GROCERY,402514,402514,A- MAKATI CHINESE NOODLES 30/200G,EA,5.013421,100,120,wheat,0.2,kg,item_name_package
GROCERY,403715,403715,A-HB ORANGE JAM 12/400G,EA,0,100,,none,0.4,kg,item_name_package
GROCERY,404298,404298,A-TAFGA SB OKRA ZERO 20/400G,EA,6.4,100,120,none,0.4,kg,item_name_package
GROCERY,404314,404314,A-5 DIAMOND RAISIN 1/10KG,KG,17.17747,90,282,none,10,kg,item_name_package
GROCERY,404321,404321,A-MELLOW LENTIL BROWN WHOLE 1/15KG,KG,4.162565,100,120,none,15,kg,item_name_package
GROCERY,404322,404322,A-ADELCO COCONUT POWDR 1/7KG,EA,93.1168,100,120,tree nuts,7,kg,item_name_package
GROCERY,404324,404324,A- ALBAYAT SAUDI SUGAR 1/50KG,KG,2.232922,100,387,none,50,kg,item_name_package
GROCERY,404330,404330,A-TOMEX GREEN PEAS 4/2.5KG,EA,15.92412,100,120,none,2.5,kg,item_name_package
GROCERY,404331,404331,A-TOMEX CUT GREEN BEAN 4/2.5KG,EA,15.157793,100,120,none,2.5,kg,item_name_package
GROCERY,404332,404332,A-TOMEX VEG MIXED VEG 4/2.5KG,EA,14.383149,85,40,none,2.5,kg,item_name_package
GROCERY,404344,404344,A-NASEEL MUSTARD WHOLE 1/1KG,KG,8,100,120,none,1,kg,item_name_package
GROCERY,404349,404349,A- SPIXA CASHEW NUTS 1/1KG,KG,41.154906,100,120,tree nuts,1,kg,item_name_package
GROCERY,404350,404350,A- SPIXA ALMONDS 1/1KG,KG,36.064,100,120,tree nuts,1,kg,item_name_package
GROCERY,404352,404352,A- SPIXA WALNUT 1/1KG,KG,39,100,120,tree nuts,1,kg,item_name_package
GROCERY,404353,404353,A- SPIXA PISTACHIO CLEAN 1/1KG,KG,89.748,100,120,tree nuts,1,kg,item_name_package
GROCERY,404355,404355,A- NASEEL WHITE SESAME SEEDS 1/1KG,KG,13.8,100,120,sesame,1,kg,item_name_package
GROCERY,404596,404596,A-NASEEL LEMON SALT 1/1KG,KG,19,100,120,none,1,kg,item_name_package
GROCERY,404682,404682,A-AL MANAKEL PAPRIKA SWEET JAR 6/1KG,KG,25.76,100,120,none,1,kg,item_name_package
GROCERY,404968,404968,NIAZ CORIANDER WHOLE (L189) 1/1KG,KG,12.096647,100,120,none,1,kg,item_name_package
GROCERY,405128,405128,FC FOOD COLOUR RED 6/12/28ML,PAK,33,100,120,none,0.336,l,item_name_package
GROCERY,429366,429366,TFG MOONATY LEMON JUICE 12/1LTR,EA,4.294038,100,120,none,1,l,item_name_package
GROCERY,430698,430698,RASNA POWDERED DRINK MANGO 6/2KG,EA,26.66665,100,120,none,2,kg,item_name_package
GROCERY,GR000041,GR000041,SHAN CURRY POWDER 10/1KG,EA,19.002413,100,120,none,1,kg,item_name_package
GROCERY,GR000042,GR000042,SHAN RED CHILLI POWDER 10/1KG,EA,19.002124,100,120,none,1,kg,item_name_package
GROCERY,GR000043,GR000043,SHAN TURMERIC POWDER 10/1KG,EA,14.973308,100,120,none,1,kg,item_name_package
GROCERY,GR000553,GR000553,SHAN CORIANDER POWDER 10/1KG,KG,14.5,100,120,none,1,kg,item_name_package
GROCERY,GR000554,GR000554,SHAN CUMIN WHOLE 10/1KG,KG,22.251359,100,120,none,1,kg,item_name_package
GROCERY,GR000583,GR000583,SHAN CUMIN POWDER 10/1KG,KG,29,100,120,none,1,kg,item_name_package
GROCERY,GR001017,GR001017,SHAN BLACK PEPPER WHOLE 10/1KG,KG,36,100,120,none,1,kg,item_name_package
GROCERY,GR001018,GR001018,MAA HALEEM MASALA 10/1KG,KG,33.5,100,120,none,1,kg,item_name_package
GROCERY,GR001426,GR001426,NZMP WHOLE MILK POWDER 1/25KG,KG,23.534685,100,61,milk,25,kg,item_name_package
GROCERY,GR001943,GR001943,SHAN KORMA MASALA 10/1KG,KG,45.00915,100,120,none,1,kg,item_name_package
GROCERY,GR002099,GR002099,MAA NIHARI MASALA 48/60G,EA,3.22917,100,120,none,0.06,kg,item_name_package
GROCERY,GR002526,GR002526,BLACK CARDAMON INDIA 1/1KG,KG,113,100,120,none,1,kg,item_name_package
GROCERY,GR002636,GR002636,SHAN TANDOORI MASALA 1/1KG,KG,33.5,100,120,none,1,kg,item_name_package
GROCERY,GR003046,GR003046,AMAL CHICK PEAS # 07 1/15KG,KG,4.294154,100,120,none,15,kg,item_name_package
GROCERY,GR003330,GR003330,AKBRI PUNJABI BASMATI RICE 4/10KG,PAK,64.74359,300,365,none,10,kg,item_name_package
GROCERY,GR003477,GR003477,NIAZ BLACK PEPPER WHOLE 1/1KG,KG,36,100,120,none,1,kg,item_name_package
GROCERY,GR003481,GR003481,NIAZ CINNAMON STICK 1/1KG,KG,18.838455,100,120,none,1,kg,item_name_package
GROCERY,GR003482,GR003482,NIAZ CLOVE WHOLE 1/1KG,KG,47,100,120,none,1,kg,item_name_package
GROCERY,GR003571,GR003571,NIAZ CARDAMON 1/1KG,KG,147.5,100,120,none,1,kg,item_name_package
GROCERY,GR003677,GR003677,NIAZ BASMATI EXTRA LONG GRAIN XXL 1/40KG,KG,6.45,100,120,none,40,kg,item_name_package
GROCERY,GR003698,GR003698,MAA CHAAT MASALA TUB 6/750G,EA,22.5,100,120,none,0.75,kg,item_name_package
GROCERY,GR003726,GR003726,Falcon Indian Long Grain Parboiled Rice 1/40 KG,KG,3.144444,300,365,none,40,kg,item_name_package
MEAT,134212,134212,MUTTON CARCAS AUST U-16 1/1KG,KG,29.5,70,250,none,1,kg,item_name_package
MEAT,134213,134213,MUTTON CARCASS UNDER 20 1/1KG,KG,27.6117,70,250,none,1,kg,item_name_package
MEAT,141396,141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,KG,21.068218,70,250,none,,,
MEAT,307970,307970,AL KABEER BEEF BURGER ONN BIG 8/1200G,EA,25,70,250,none,1.2,kg,item_name_package
MEAT,MT000237,MT000237,FROZ BEEF FEET 1/1KG(NATURA FRIG),KG,8.408785,70,250,none,1,kg,item_name_package
OPERSUPPLY,115918,115918,A-TFG DAIM/ORINEX CUTRIT WAX PPR 24/75SQFT,EA,5.883342,100,0,none,,,
OPERSUPPLY,116248,116248,TAFGA GULF PLASTIC TRAY #3 20/50CT,PAK,6.480833,100,0,none,50,pieces,item_name_package
OPERSUPPLY,116281,116281,PLASCO ROUND PLATE #22 10/50CT,PAK,8.5,100,0,none,50,pieces,item_name_package
OPERSUPPLY,132767,132767,KITCHEN CLOTH TOWEL 1/12CT,EA,1.073821,100,0,none,12,pieces,item_name_package
OPERSUPPLY,132774,132774,MOP HEAD 24Z 1/EA,EA,9.8,100,0,none,,,
OPERSUPPLY,132777,132777,MOP HANDLE (METAL) 1/EA,EA,13.59077,100,0,none,,,
OPERSUPPLY,132779,132779,NIBCO HAND BRUSH (SOFT) 1/EA,EA,4.900533,100,0,none,,,
OPERSUPPLY,132784,132784,HARD BROOM W/STICK(18IN) 1/EA,EA,8.924425,100,0,none,,,
OPERSUPPLY,132785,132785,"HERO BLACK SOFTBROOM W/STK 16"" 1/EA",EA,11.76045,100,0,none,,,
OPERSUPPLY,132791,132791,GLOVE DISP 100/100CT,PAK,1.506823,100,0,none,100,pieces,item_name_package
OPERSUPPLY,132795,132795,RUBBER WIPER 45CM 1/EA,EA,9.800075,100,0,none,,,
OPERSUPPLY,132915,132915,TAFGA RUBBER WIPER 75CM 1/EA,EA,16.66,100,0,none,,,
OPERSUPPLY,133204,133204,TAFGA HYNAP NAPKIN 40/250CT,PAK,3.624637,100,0,none,250,pieces,item_name_package
