source_sheet,source_row,item_code,ingredient_name,beginning_qty,received_qty,issued_qty,ending_qty,uploaded_quantity,unit,uploaded_unit_cost,amount,item_group,status
Sheet1,200,GR002526,BLACK CARDAMON INDIA 1/1KG,0.2,0,0,0.2,0.2,KG,113,22.6,GROCERY,converted
Sheet1,201,GR002636,SHAN TANDOORI MASALA 1/1KG,2,0,0,2,2,KG,33.5,67,GROCERY,converted
Sheet1,202,GR003046,AMAL CHICK PEAS # 07 1/15KG,840,0,-15,825,825,KG,4.294154,3542.6771,GROCERY,converted
Sheet1,203,GR003330,AKBRI PUNJABI BASMATI RICE 4/10KG,266,0,-5,261,261,PAK,64.74359,16898.077,GROCERY,converted
Sheet1,204,GR003477,NIAZ BLACK PEPPER WHOLE 1/1KG,6,0,0,6,6,KG,36,216,GROCERY,converted
Sheet1,205,GR003481,NIAZ CINNAMON STICK 1/1KG,11,0,0,11,11,KG,18.838455,207.223,GROCERY,converted
Sheet1,206,GR003482,NIAZ CLOVE WHOLE 1/1KG,9,0,0,9,9,KG,47,423,GROCERY,converted
Sheet1,207,GR003571,NIAZ CARDAMON 1/1KG,7,0,0,7,7,KG,147.5,1032.5,GROCERY,converted
Sheet1,208,GR003677,NIAZ BASMATI EXTRA LONG GRAIN XXL 1/40KG,2600,0,-120,2480,2480,KG,6.45,15996,GROCERY,converted
Sheet1,209,GR003698,MAA CHAAT MASALA TUB 6/750G,4,0,0,4,4,EA,22.5,90,GROCERY,converted
Sheet1,210,GR003726,Falcon Indian Long Grain Parboiled Rice 1/40 KG,1240,0,-80,1160,1160,KG,3.144444,3647.5556,GROCERY,converted
Sheet1,211,134212,MUTTON CARCAS AUST U-16 1/1KG,801.07,0,0,801.07,801.07,KG,29.5,23631.565,MEAT,converted
Sheet1,212,134213,MUTTON CARCASS UNDER 20 1/1KG,558.51,0,0,558.51,558.51,KG,27.6117,15421.4105,MEAT,converted
Sheet1,213,141396,BEEF INDIAN B/LES FOREQUARTER FROZEN 1KG,394,0,0,394,394,KG,21.068218,8300.8777,MEAT,converted
Sheet1,214,307970,AL KABEER BEEF BURGER ONN BIG 8/1200G,42,0,0,42,42,EA,25,1050,MEAT,converted
Sheet1,215,MT000237,FROZ BEEF FEET 1/1KG(NATURA FRIG),40,0,0,40,40,KG,8.408785,336.3514,MEAT,converted
Sheet1,216,115918,A-TFG DAIM/ORINEX CUTRIT WAX PPR 24/75SQFT,12,0,0,12,12,EA,5.883342,70.6001,OPERSUPPLY,converted
Sheet1,217,116248,TAFGA GULF PLASTIC TRAY #3 20/50CT,36,0,0,36,36,PAK,6.480833,233.31,OPERSUPPLY,converted
Sheet1,218,116281,PLASCO ROUND PLATE #22 10/50CT,10,0,0,10,10,PAK,8.5,85,OPERSUPPLY,converted
Sheet1,219,132767,KITCHEN CLOTH TOWEL 1/12CT,72,0,0,72,72,EA,1.073821,77.3151,OPERSUPPLY,converted
Sheet1,220,132774,MOP HEAD 24Z 1/EA,2,0,0,2,2,EA,9.8,19.6,OPERSUPPLY,converted
Sheet1,221,132777,MOP HANDLE (METAL) 1/EA,10,0,0,10,10,EA,13.59077,135.9077,OPERSUPPLY,converted
Sheet1,222,132779,NIBCO HAND BRUSH (SOFT) 1/EA,3,0,0,3,3,EA,4.900533,14.7016,OPERSUPPLY,converted
Sheet1,223,132784,HARD BROOM W/STICK(18IN) 1/EA,4,0,0,4,4,EA,8.924425,35.6977,OPERSUPPLY,converted
Sheet1,224,132785,"HERO BLACK SOFTBROOM W/STK 16"" 1/EA",6,0,0,6,6,EA,11.76045,70.5627,OPERSUPPLY,converted
Sheet1,225,132791,GLOVE DISP 100/100CT,376,0,-6,370,370,PAK,1.506823,557.5246,OPERSUPPLY,converted
Sheet1,226,132795,RUBBER WIPER 45CM 1/EA,8,0,0,8,8,EA,9.800075,78.4006,OPERSUPPLY,converted
Sheet1,227,132915,TAFGA RUBBER WIPER 75CM 1/EA,14,0,0,14,14,EA,16.66,233.24,OPERSUPPLY,converted
Sheet1,228,133204,TAFGA HYNAP NAPKIN 40/250CT,232,0,0,232,232,PAK,3.624637,840.9159,OPERSUPPLY,converted
Sheet1,229,133229,AFFCO ROUND TOOTHPICK 12/150'S,24,0,0,24,24,EA,0.416696,10.0007,OPERSUPPLY,converted
Sheet1,230,133283,TFGA TRASH BAG BLUE 10-GAL(3KG) 17/30CT,340,0,0,340,340,PAK,1.388235,472,OPERSUPPLY,converted
Sheet1,231,133442,WRAPPED TOOTHPICK 1/1000'S,2,0,0,2,2,CS,4.7267,9.4534,OPERSUPPLY,converted
Sheet1,232,139876,CAKE BOXES 30/30/12CM /EA,47,0,-5,42,42,EA,0.800031,33.6013,OPERSUPPLY,converted
Sheet1,233,140060,TAFGA FOAM LUNCH BOX LB3L 1/100'S,3,0,0,3,3,CS,24.193533,72.5806,OPERSUPPLY,converted
Sheet1,234,140074,ALUMINUM 3 COMP #800/45 1/600CT,7800,0,-600,7200,7200,EA,0.33852,2437.347,OPERSUPPLY,converted
Sheet1,235,140104,INDUSTRIAL WHITE P/TOWEL 80MTR 12/1ROL,708,0,-36,672,672,EA,3.079985,2069.7497,OPERSUPPLY,converted
Sheet1,236,159935,SANDWICH PAPER 20/500CT,38,0,0,38,38,PAK,5.278153,200.5698,OPERSUPPLY,converted
Sheet1,237,164553,TFGA BAMBOO SKEWER 25CM ROSE 1/100CT,16,0,0,16,16,CS,1.784531,28.5525,OPERSUPPLY,converted
Sheet1,238,165042,KRAFT PAPER BAG #10 1/10KG,300,0,0,300,300,KG,7.863355,2359.0065,OPERSUPPLY,converted
Sheet1,239,165119,GENPACK CONE WATER CUP-US 25/200CT,31,0,0,31,31,PAK,6.8272,211.6432,OPERSUPPLY,converted
Sheet1,240,165121,STEEL WOOL HEAVY DUTY 1/48CT,209,0,0,209,209,EA,1.333334,278.6668,OPERSUPPLY,converted
Sheet1,241,169798,TAFGA RUBBER HAND GLOVES 10-10.5 12/EA,168,0,0,168,168,EA,2.08485,350.2548,OPERSUPPLY,converted
Sheet1,242,172309,AL HASA TRASH BAG #50 GAL 1/3KG,8,0,-3,5,5,KG,43.62202,218.1101,OPERSUPPLY,converted
Sheet1,243,177650,TFG MAXI ROLL 300MTR 6/1ROLL,52,0,-1,51,51,EA,5.635049,287.3875,OPERSUPPLY,converted
Sheet1,244,179369,TAFGA CHARCOAL LIGHTER FUEL 12/16Z,23,0,0,23,23,EA,11.953183,274.9232,OPERSUPPLY,converted
Sheet1,245,185024,NURSE'S CAP 10/100CT,56,0,-1,55,55,EA,3.936849,216.5267,OPERSUPPLY,converted
Sheet1,246,185025,APRON DISP 10/100 CT,44,0,-1,43,43,PAK,4.916249,211.3987,OPERSUPPLY,converted
Sheet1,247,185784,TAFGA GULF PLASTIC SPOONS 20/50PCS,1320,0,-40,1280,1280,PAK,1.679051,2149.1856,OPERSUPPLY,converted
Sheet1,248,187421,TAFGA OVEN CLEANER 12/300ML,12,0,0,12,12,EA,18.333333,220,OPERSUPPLY,converted
Sheet1,249,188273,TAFGA SCOURING PAD MAOG 40/9CT,42,0,0,42,42,PAK,7.10215,298.2903,OPERSUPPLY,converted
Sheet1,250,191976,TAFGA ALUMINUM FOIL 6X45X.014MICX100MTR,72,0,-3,69,69,EA,26.89628,1855.8433,OPERSUPPLY,converted
Sheet1,251,192337,MOP HEAD RED COLOR 16Z 1/EA,6,0,0,6,6,EA,9.802867,58.8172,OPERSUPPLY,converted
Sheet1,252,192338,MOP HEAD BLUE COLOR 16Z 1/EA,7,0,0,7,7,EA,9.800029,68.6002,OPERSUPPLY,converted
Sheet1,253,204787,TAFGA DUST PAN WITH BRUSH 1/EA,5,0,0,5,5,EA,4.9,24.5,OPERSUPPLY,converted
Sheet1,254,235499,AR # KLEENEX TT 500 SHTS-ARAMCO 8/12ROLL,23,0,0,23,23,PAK,22.00007,506.0016,OPERSUPPLY,converted
Sheet1,255,235591,TOILET BRUSH WITH STAND 1/EA,9,0,0,9,9,EA,4.66,41.94,OPERSUPPLY,converted
Sheet1,256,237694,TAFGA DUST PAN W/BRUSH LONG HNDL 1/EA,2,0,0,2,2,EA,9.8,19.6,OPERSUPPLY,converted
Sheet1,257,238216,FACE MASK EAR LOOP 3PLY GREN/BLUE 1/50CT,65,0,0,65,65,PAK,2.898557,188.4062,OPERSUPPLY,converted
Sheet1,258,240013,TAFGA PLEDGE F/POLISH NATURAL 12/300ML,26,0,0,26,26,EA,9.583335,249.1667,OPERSUPPLY,converted
Sheet1,259,242108,KLEENEX FT COMFORT TOUCH 36/70 -100CT,348,0,-1,347,347,PAK,2.166968,751.9378,OPERSUPPLY,converted
Sheet1,260,248759,ORINX/JAMA VINYL GLV PWD FRE LR 10/100CT,46,0,0,46,46,PAK,5.655728,260.1635,OPERSUPPLY,converted
Sheet1,261,263304,TAFGA AL SHARQIA CHARCOAL 1/4KG,46,0,0,46,46,CS,20.012774,920.5876,OPERSUPPLY,converted
Sheet1,262,279433,TAFGA SUFRA MEDIUM 10/30CT,20,0,0,20,20,PAK,2.810585,56.2117,OPERSUPPLY,converted
Sheet1,263,280902,TAFGA CHAFFING FUEL ADJUST/WICK 1/24EA,234,0,0,234,234,EA,2.666667,624,OPERSUPPLY,converted
Sheet1,264,284926,TAFGA FABRIC SOFTNER 8/2LT,80,0,0,80,80,EA,10.255291,820.4233,OPERSUPPLY,converted
Sheet1,265,315827,ALUMINUM FOIL CONT. #1135.400/CT,30800,0,-400,30400,30400,EA,0.35,10640,OPERSUPPLY,converted
Sheet1,266,360324,TAFGA VVIP CUTLRY 8PC CLEAR 1/400CT,580,0,-10,570,570,EA,0.500365,285.208,OPERSUPPLY,converted
Sheet1,267,388586,ALUMINUM 3 COMP LID 800/45 1/500CT,5000,0,0,5000,5000,EA,0.002,10,OPERSUPPLY,converted
Sheet1,268,391639,AR # KLEENEX UCTAD ROL TWEL #6272 1/6CT,46,0,-1,45,45,EA,21.183249,953.2462,OPERSUPPLY,converted
Sheet1,269,395605,TEA SPOON SMALL 1/1000CT,4000,0,0,4000,4000,EA,0.03,120,OPERSUPPLY,converted
Sheet1,270,395608,A-TAFGA LOGO SHOPPING BAG BIODEGRADEABLE MED 1/20KG,160,0,0,160,160,KG,6.8,1088,OPERSUPPLY,converted
Sheet1,271,400188,TAFGA DOUBLE WALL CUP GOLDEN 9Z 1/500CT,500,0,0,500,500,EA,0.206,103,OPERSUPPLY,converted
Sheet1,272,400731,KOOZ HOT CUPS W/ HANDLE GOLD 1/1000CT,39000,0,-2000,37000,37000,EA,0.085229,3153.4671,OPERSUPPLY,converted
Sheet1,273,422720,TAFGA JASEER CLING FILM 45CM 6KG 6/1600M,29,0,0,29,29,EA,38.542072,1117.7201,OPERSUPPLY,converted
Sheet1,274,OP000050,PLASTIC FORK 20/50CT(CATER PACK),60,0,0,60,60,PAK,1.35,81,OPERSUPPLY,converted
Sheet1,275,OP000380,SANDWICH BAG # 6 1/10KG,100,0,0,100,100,KG,3.75,375,OPERSUPPLY,converted
Sheet1,276,OP001697,REGULAR CUTLRY SET 1/200CT,1190,0,0,1190,1190,EA,0.72,856.8,OPERSUPPLY,converted
Sheet1,277,OP001718,MICROWAVE CONTAINER W/LID BLACK 500ML 1/250CT,650,0,0,650,650,EA,0.4,260,OPERSUPPLY,converted
Sheet1,278,OP001719,ALUMINIUM CONTAINER ROUND 1/600CT,2800,0,0,2800,2800,EA,0.241667,676.6664,OPERSUPPLY,converted
Sheet1,279,OP001728,MICROWAVE CONTAINER RECTANGLE BLACK W/LID 1/150CT,650,0,0,650,650,EA,0.873333,567.6666,OPERSUPPLY,converted
Sheet1,280,OP001733,"DOILIES PAPER RECTANGLR 17.5X12.5""/470X317MM 30/35CT",118,0,0,118,118,PAK,5.179171,611.1422,OPERSUPPLY,converted
Sheet1,281,OP001877,SHOPPING BAG MEDIUM 1/20KG,420,0,0,420,420,KG,7.000052,2940.022,OPERSUPPLY,converted
Sheet1,282,OP002597,BLOOD BANK MEAL BOX 12X22X8CM 1/1EA,5000,0,0,5000,5000,EA,0.65,3250,OPERSUPPLY,converted
Sheet1,283,OP002722,TRASH BAG BLUE 10 GAL 1/3KG,24,0,0,24,24,EA,17,408,OPERSUPPLY,converted
Sheet1,284,OP002898,FOIL WARP HUMBURGER 1/2000CT,11500,0,0,11500,11500,EA,0.092,1058,OPERSUPPLY,converted
Sheet1,285,OP002971,AL HASA TRASH BAG 50 GAL 3KG 1/7PAK,98,0,0,98,98,PAK,12.000001,1176.0001,OPERSUPPLY,converted
Sheet1,286,OP003035,PLASTIC CONTENER WHITE 250 1/1000CT,50000,0,0,50000,50000,EA,0.118,5900,OPERSUPPLY,converted
Sheet1,287,OP003260,JASCO BRAND PLASTIC CONTAINER W/LID 250G 1/1000CT,5000,0,-1000,4000,4000,EA,0.069999,279.9966,OPERSUPPLY,converted
Sheet1,288,OP003629,JASCO BRAND PLASTIC CONTAINER 450G 1/1000CT,7000,0,0,7000,7000,EA,0.1,700,OPERSUPPLY,converted
Sheet1,289,OP003631,ALUMINIUM CONTAINERS 2 COMPARTMENT 1/500CT,3800,0,-100,3700,3700,EA,0.46,1702,OPERSUPPLY,converted
Sheet1,290,OP003635,MICROWAVEABLE CONTAINERS ROUND 450ML BLACK 1/500CT,2300,0,-50,2250,2250,EA,0.134,301.5,OPERSUPPLY,converted
Sheet1,291,132996,AFFCO LUNCHEON CHICKEN MEAT 24/200G,124,0,0,124,124,EA,5.088413,630.9632,POULTRY,converted
