site,warehouse,item_code,ingredient_name,quantity,unit,unit_cost,reorder_level,status,item_group,amount
KBR,KBR-384,190082,A-ALMANAKIL SUMAC NO.1 1/KG,4,KG,9.2,0,in_stock,GROCERY,36.8
KBR,KBR-384,191262,A-TFGA LUNA FOUL MEDAMAS 24/400G,187,EA,1.960765,0,in_stock,GROCERY,366.663
KBR,KBR-384,191743,WADI HONEY 12/375-385G,265,EA,6.997343,0,in_stock,GROCERY,1854.2958
KBR,KBR-384,191744,TAFGA SPANISH BLACK OLIVES WHOLE 12/370G,80,EA,5.666736,0,in_stock,GROCERY,453.3389
KBR,KBR-384,191892,TAFGA LUNA RED KIDNEY BEANS 24/400G,68,EA,3.5,0,in_stock,GROCERY,238
KBR,KBR-384,194074,A-TAFGA FRESHLY OREGANO/ZAATAR LEAVES,6,EA,18.344517,0,in_stock,GROCERY,110.0671
KBR,KBR-384,198273,TAFGA M.S.G. 20/400G,18,EA,1.300044,0,in_stock,GROCERY,23.4008
KBR,KBR-384,199838,A-(TAFGA) AFFCO SWEET CORN 6/3KG,32,PAK,15.52675,0,in_stock,GROCERY,496.856
KBR,KBR-384,199922,A-TAFGA AFFCO SWEET CHILLI SAUCE 12/700ML,5,EA,7.66664,0,in_stock,GROCERY,38.3332
KBR,KBR-384,201773,TAFGA CREAM CARAMEL 4/3KG,4,PAK,25.5,0,in_stock,GROCERY,102
KBR,KBR-384,204980,TAFGA LIQ TAHINA 12/1KG,9,EA,36.083344,0,in_stock,GROCERY,324.7501
KBR,KBR-384,213346,BAIDAR POMEGRANATE MOLASSES 12/700G,3,EA,14.583333,0,in_stock,GROCERY,43.75
KBR,KBR-384,218618,TAFGA GOODY WHOLE MUSHROOM 24/400G,143,EA,7.449229,0,in_stock,GROCERY,1065.2397
KBR,KBR-384,221871,TAFGA DALAL COOKING OIL-(SAUDI) 1/18LTR,75,EA,104.273976,0,in_stock,GROCERY,7820.5482
KBR,KBR-384,242795,ALMARAI BUTTER GHEE 6/1600G,14,EA,35.905964,0,in_stock,GROCERY,502.6835
KBR,KBR-384,255114,A-UJAJ ROCK COOKING SALT 1/50KG,450,KG,0.46,0,in_stock,GROCERY,207
KBR,KBR-384,262233,TAFGA NESCAFE CLASIC COFFEE 12/200G,24,EA,19.44125,0,in_stock,GROCERY,466.59
KBR,KBR-384,262241,A-TAFGA NESTLE COFFEEMATE COFE 15/400G,125,EA,8.759678,0,in_stock,GROCERY,1094.9597
KBR,KBR-384,262511,TAFGA GOODY MACARONI ELBOW #33 24/500G,178,EA,4.302311,0,in_stock,GROCERY,765.8113
KBR,KBR-384,265809,GOODY FETTUCCINI 24/450G,81,EA,12.6825,0,in_stock,GROCERY,1027.2825
KBR,KBR-384,266115,A-TFG MAMIA ROSE WATER 12/430ML,36,EA,1.750383,0,in_stock,GROCERY,63.0138
KBR,KBR-384,267491,TAFGA CH/GARDEN MIXED PICKLE 12/1KG,38,EA,9.916668,0,in_stock,GROCERY,376.8334
KBR,KBR-384,271485,TAFGA MAWASIM/BADAR TEA BAG 36/100CT,198,PAK,5.361117,0,in_stock,GROCERY,1061.5011
KBR,KBR-384,273104,A-AFFCO FISH SAUCE 12/700ML,37,EA,4.583349,0,in_stock,GROCERY,169.5839
KBR,KBR-384,275514,TAFGA GOODY VERMICELLI CUT 24/500G,33,EA,4.275836,0,in_stock,GROCERY,141.1026
KBR,KBR-384,275516,A-TAFGA GOODY P/NUT BTR CRMY 12/340G,89,EA,10.282537,0,in_stock,GROCERY,915.1458
KBR,KBR-384,275700,A-TFGA MEHRAN BIRIYANI POWDER 48/50G,295,EA,3.958379,0,in_stock,GROCERY,1167.7219
KBR,KBR-384,275962,TAFGA GOODY MAYONNAISE 12/32Z,42,EA,19.921474,0,in_stock,GROCERY,836.7019
KBR,KBR-384,276502,A-MEHRAN KAUSRI METHILEAVES 12/50G,77,EA,1.667962,0,in_stock,GROCERY,128.4331
KBR,KBR-384,279340,A-TFGA MEHRAN TIKKA MASALA 12/50G,52,EA,3.666671,0,in_stock,GROCERY,190.6669
KBR,KBR-384,279694,AL MARAI EXTRA VIRGIN OLIVE OIL 12/500ML,12,EA,27,0,in_stock,GROCERY,324
KBR,KBR-384,280423,A-TAFGA HB MIXED FRUITS JAM 12/400G,11,EA,8.73,0,in_stock,GROCERY,96.03
KBR,KBR-384,283518,TAFGA KELLOGS CORN FLAKES 8/1KG,33,EA,19.948627,0,in_stock,GROCERY,658.3047
KBR,KBR-384,285358,EASTERN KABSA SPICE MIX 24/200G,28,EA,11.63045,0,in_stock,GROCERY,325.6526
KBR,KBR-384,307316,TFGA ADELCO CHICK PEAS PWDR INDIA 1/15KG,105,KG,4.213724,0,in_stock,GROCERY,442.441
KBR,KBR-384,367022,MAWASIM VINEGAR WHITE 4/3.78LTR,20,EA,8.75045,0,in_stock,GROCERY,175.009
KBR,KBR-384,368547,AFIA SUNFLOWER OIL 4/2.9LTR,39,EA,32.999749,0,in_stock,GROCERY,1286.9902
KBR,KBR-384,369548,TAFGA TANG MANGO 6/2 KG,6,EA,39.09585,0,in_stock,GROCERY,234.5751
KBR,KBR-384,369549,TAFGA TANG ORANGE 6/2 KG,42,EA,39.13155,0,in_stock,GROCERY,1643.5251
KBR,KBR-384,372862,TAFGA NESCAFE RED MUG INST COFEE 6/200G,43,EA,31.955556,0,in_stock,GROCERY,1374.0889
KBR,KBR-384,374218,AFIA EXTRA VIRGIN OLIVE OIL 12/1LTR,31,EA,50.500348,0,in_stock,GROCERY,1565.5108
KBR,KBR-384,376366,ALMARAI MILK POWDER F/C 2KG+500G 6/2.5KG,35,EA,77.44,0,in_stock,GROCERY,2710.4
KBR,KBR-384,378292,A-TFG AL KABEER HASHBROWN POTATO 4/2.5KG,4,EA,28.75,0,in_stock,GROCERY,115
KBR,KBR-384,379941,TAJ MAHAL PUNJABI RICE 4/10KG,28,BAG,60.41065,0,in_stock,GROCERY,1691.4982
KBR,KBR-384,381884,A-TAFGA LIPTON TEA CATERING PACK 36/100CT,200,EA,8.89171,0,in_stock,GROCERY,1778.342
KBR,KBR-384,381887,A-TAFGA GOODY WHOLE PEELED TOMATO 6/#10,64,EA,17.902191,0,in_stock,GROCERY,1145.7402
KBR,KBR-384,385486,FRESHLY YELLOW MUSTARD PASTE 12/8OZ,216,EA,6.865116,0,in_stock,GROCERY,1482.8651
KBR,KBR-384,386163,A-MELOW INDIAN YELLOW SPLIT CHICK PEAS 1/15KG,570,KG,5.560805,0,in_stock,GROCERY,3169.6586
KBR,KBR-384,386761,GOODY PASTA #11 PENNE LISCE 24/500G,274,EA,4.277181,0,in_stock,GROCERY,1171.9475
KBR,KBR-384,386762,GOODY PASTA #20 SPAGHETTI  24/450,240,EA,4.313105,0,in_stock,GROCERY,1035.1452
KBR,KBR-384,391367,SHAMS SUNFLOWER OIL 2/9LTR,24,EA,65.00125,0,in_stock,GROCERY,1560.03
KBR,KBR-384,392483,NESCAFE CLASSIC COFFEE 12/190G,79,EA,25.3725,0,in_stock,GROCERY,2004.4275
KBR,KBR-384,401030,EASTERN GARLIC POWDER 24/200G,4,EA,9.96835,0,in_stock,GROCERY,39.8734
KBR,KBR-384,401170,A- TAFGA FRESHLY SMOKED PAPRIKA 6/16Z,4,EA,39.166675,0,in_stock,GROCERY,156.6667
KBR,KBR-384,401443,LIPTON GREEN TEA MINT 12/50/1.3G,6,PAK,16.91665,0,in_stock,GROCERY,101.4999
KBR,KBR-384,401444,LIPTON GREEN TEA LEMON 12/50/1.3G,24,PAK,16.916667,0,in_stock,GROCERY,406
KBR,KBR-384,402514,A- MAKATI CHINESE NOODLES 30/200G,146,EA,5.013421,0,in_stock,GROCERY,731.9594
KBR,KBR-384,404298,A-TAFGA SB OKRA ZERO 20/400G,166,EA,6.4,0,in_stock,GROCERY,1062.4
KBR,KBR-384,404314,A-5 DIAMOND RAISIN 1/10KG,62,KG,17.177469,0,in_stock,GROCERY,1065.0031
KBR,KBR-384,404321,A-MELLOW LENTIL BROWN WHOLE 1/15KG,180,KG,4.162565,0,in_stock,GROCERY,749.2617
KBR,KBR-384,404322,A-ADELCO COCONUT POWDR 1/7KG,1,EA,93.1168,0,in_stock,GROCERY,93.1168
KBR,KBR-384,404324,A- ALBAYAT SAUDI SUGAR 1/50KG,1150,KG,2.232922,0,in_stock,GROCERY,2567.8607
KBR,KBR-384,404330,A-TOMEX GREEN PEAS 4/2.5KG,108,EA,15.924119,0,in_stock,GROCERY,1719.8049
KBR,KBR-384,404331,A-TOMEX CUT GREEN BEAN 4/2.5KG,76,EA,15.157793,0,in_stock,GROCERY,1151.9923
KBR,KBR-384,404332,A-TOMEX VEG MIXED VEG 4/2.5KG,38,EA,14.38315,0,in_stock,GROCERY,546.5597
KBR,KBR-384,404344,A-NASEEL MUSTARD WHOLE 1/1KG,1,KG,8,0,in_stock,GROCERY,8
KBR,KBR-384,404349,A- SPIXA CASHEW NUTS 1/1KG,18,KG,41.154906,0,in_stock,GROCERY,740.7883
KBR,KBR-384,404350,A- SPIXA ALMONDS 1/1KG,12,KG,36.064,0,in_stock,GROCERY,432.768
KBR,KBR-384,404352,A- SPIXA WALNUT 1/1KG,12,KG,39,0,in_stock,GROCERY,468
KBR,KBR-384,404353,A- SPIXA PISTACHIO CLEAN 1/1KG,19,KG,89.748,0,in_stock,GROCERY,1705.212
KBR,KBR-384,404355,A- NASEEL WHITE SESAME SEEDS 1/1KG,2,KG,13.8,0,in_stock,GROCERY,27.6
KBR,KBR-384,404596,A-NASEEL LEMON SALT 1/1KG,2,KG,19,0,in_stock,GROCERY,38
KBR,KBR-384,404682,A-AL MANAKEL PAPRIKA SWEET JAR  6/1KG,6,KG,25.76,0,in_stock,GROCERY,154.56
KBR,KBR-384,404968,NIAZ CORIANDER WHOLE (L189) 1/1KG,17,KG,12.096647,0,in_stock,GROCERY,205.643
KBR,KBR-384,405128,FC FOOD COLOUR RED 6/12/28ML,8,PAK,33,0,in_stock,GROCERY,264
KBR,KBR-384,429366,TFG MOONATY LEMON JUICE 12/1LTR,83,EA,4.294039,0,in_stock,GROCERY,356.4052
KBR,KBR-384,430698,RASNA POWDERED DRINK MANGO 6/2KG,6,EA,26.66665,0,in_stock,GROCERY,159.9999
KBR,KBR-384,GR000041,SHAN CURRY POWDER 10/1KG,145,EA,19.002413,0,in_stock,GROCERY,2755.3499
KBR,KBR-384,GR000042,SHAN RED CHILLI POWDER 10/1KG,108,EA,19.002124,0,in_stock,GROCERY,2052.2294
KBR,KBR-384,GR000043,SHAN TURMERIC POWDER  10/1KG,117,EA,14.973308,0,in_stock,GROCERY,1751.877
KBR,KBR-384,GR000553,SHAN CORIANDER POWDER  10/1KG,129,KG,14.5,0,in_stock,GROCERY,1870.5
KBR,KBR-384,GR000554,SHAN CUMIN WHOLE  10/1KG,53,KG,22.25136,0,in_stock,GROCERY,1179.3221
KBR,KBR-384,GR000583,SHAN CUMIN POWDER 10/1KG,32,KG,29,0,in_stock,GROCERY,928
KBR,KBR-384,GR001017,SHAN BLACK PEPPER WHOLE 10/1KG,20,KG,36,0,in_stock,GROCERY,720
KBR,KBR-384,GR001018,MAA HALEEM MASALA 10/1KG,1,KG,33.5,0,in_stock,GROCERY,33.5
KBR,KBR-384,GR001426,NZMP WHOLE MILK POWDER 1/25KG,250,KG,23.534685,0,in_stock,GROCERY,5883.6712
KBR,KBR-384,GR001943,SHAN KORMA MASALA 10/1KG,71,KG,45.009149,0,in_stock,GROCERY,3195.6496
KBR,KBR-384,GR002099,MAA NIHARI MASALA  48/60G,46,EA,3.22917,0,in_stock,GROCERY,148.5418
KBR,KBR-384,GR002526,BLACK CARDAMON INDIA  1/1KG,0.2,KG,113,0,in_stock,GROCERY,22.6
KBR,KBR-384,GR002636,SHAN TANDOORI MASALA 1/1KG,2,KG,33.5,0,in_stock,GROCERY,67
KBR,KBR-384,GR003046,AMAL CHICK PEAS # 07 1/15KG,840,KG,4.294154,0,in_stock,GROCERY,3607.0894
KBR,KBR-384,GR003330,AKBRI PUNJABI BASMATI RICE 4/10KG,274,PAK,64.74359,0,in_stock,GROCERY,17739.7436
KBR,KBR-384,GR003477,NIAZ BLACK PEPPER WHOLE 1/1KG,6,KG,36,0,in_stock,GROCERY,216
KBR,KBR-384,GR003481,NIAZ CINNAMON STICK 1/1KG,11,KG,18.838455,0,in_stock,GROCERY,207.223
KBR,KBR-384,GR003482,NIAZ CLOVE WHOLE 1/1KG,9,KG,47,0,in_stock,GROCERY,423
KBR,KBR-384,GR003571,NIAZ CARDAMON 1/1KG,7,KG,147.5,0,in_stock,GROCERY,1032.5
KBR,KBR-384,GR003677,NIAZ BASMATI EXTRA LONG GRAIN XXL 1/40KG,2640,KG,6.45,0,in_stock,GROCERY,17028
KBR,KBR-384,GR003698,MAA CHAAT MASALA TUB 6/750G,4,EA,22.5,0,in_stock,GROCERY,90
KBR,KBR-384,GR003726,Falcon Indian Long Grain Parboiled Rice 1/40 KG,1360,KG,3.144444,0,in_stock,GROCERY,4276.4445
KBR,KBR-384,134212,MUTTON CARCAS AUST U-16 1/1KG,801.07,KG,29.5,0,in_stock,MEAT,23631.565
